5200,4,4,3,0,branch_to
5200,5,5,3,2129,branch_from
5200,5,5,3,0,branch_to
5200,8,8,3,2129,branch_from
5200,8,8,3,0,branch_to
5252,9,9,2,1429,branch_from
5252,9,9,2,0,branch_to
5252,11,11,2,1429,branch_from
5252,11,11,2,0,branch_to
5253,16,16,2,1429,branch_from
5253,16,16,2,0,branch_to
5299,1,1,5,2482,branch_from
5299,1,1,5,2166,branch_to
5299,3,3,5,2482,branch_from
5299,3,3,5,2166,branch_to
5362,15,21,8,701,branch_from
5362,15,21,8,0,branch_to
5363,12,12,4,1282,branch_from
5363,12,12,4,1066,branch_to
5363,13,13,4,1282,branch_from
5363,13,13,4,1066,branch_to
5371,19,19,5,2482,branch_from
5371,19,19,5,2166,branch_to
5375,7,22,0,1301,branch_from
5375,7,22,0,1433,branch_to
5376,7,22,0,1433,blocked
5438,1,1,5,2304,blocked
5438,3,3,5,2304,blocked
5449,1,1,5,2304,unblocked
5449,3,3,5,2304,unblocked
5454,7,22,0,1433,unblocked
5454,7,22,0,1433,branch_from
5454,7,22,0,0,branch_to
5484,17,17,9,1501,branch_from
5484,17,17,9,0,branch_to
5510,19,19,5,2304,blocked
5521,19,19,5,2304,unblocked
5527,0,0,0,500,branch_from
5527,0,0,0,1402,branch_to
5534,0,0,0,1408,blocked
5569,6,6,0,500,branch_from
5569,6,6,0,1402,branch_to
5576,6,6,0,1408,blocked
5580,13,13,4,1282,branch_from
5580,13,13,4,1066,branch_to
5581,12,12,4,1283,branch_from
5581,12,12,4,0,branch_to
5582,12,12,4,0,blocked
5627,1,1,5,2482,branch_from
5627,1,1,5,2166,branch_to
5627,3,3,5,2482,branch_from
5627,3,3,5,2166,branch_to
5628,0,0,0,1408,unblocked
5653,0,0,0,1433,branch_from
5653,0,0,0,0,branch_to
5670,6,6,0,1408,unblocked
5682,12,12,4,0,unblocked
5695,6,6,0,1433,branch_from
5695,6,6,0,0,branch_to
5699,19,19,5,2482,branch_from
5699,19,19,5,2166,branch_to
5766,1,1,5,2304,blocked
5766,3,3,5,2304,blocked
5777,1,1,5,2304,unblocked
5777,3,3,5,2304,unblocked
5797,13,13,4,1282,branch_from
5797,13,13,4,1066,branch_to
5838,19,19,5,2304,blocked
5849,19,19,5,2304,unblocked
5858,14,14,8,701,branch_from
5858,14,14,8,0,branch_to
5955,1,1,5,2482,branch_from
5955,1,1,5,2166,branch_to
5955,3,3,5,2482,branch_from
5955,3,3,5,2166,branch_to
5955,7,22,0,500,branch_from
5955,7,22,0,1402,branch_to
5956,7,22,0,1402,blocked
6014,13,13,4,1282,branch_from
6014,13,13,4,1066,branch_to
6027,19,19,5,2482,branch_from
6027,19,19,5,2166,branch_to
6056,7,22,0,1402,unblocked
6063,15,21,8,700,branch_from
6063,15,21,8,703,branch_to
6064,15,21,8,703,branch_from
6064,15,21,8,0,branch_to
6087,7,22,0,1433,branch_from
6087,7,22,0,0,branch_to
6088,7,22,0,0,blocked
6094,1,1,5,2304,blocked
6094,3,3,5,2304,blocked
6105,1,1,5,2304,unblocked
6105,3,3,5,2304,unblocked
6108,18,23,0,1301,branch_from
6108,18,23,0,1433,branch_to
6109,18,23,0,1433,blocked
6142,10,20,2,1429,branch_from
6142,10,20,2,0,branch_to
6154,0,0,0,500,branch_from
6154,0,0,0,1402,branch_to
6161,0,0,0,1408,blocked
6166,19,19,5,2304,blocked
6177,19,19,5,2304,unblocked
6187,18,23,0,1433,unblocked
6187,18,23,0,1433,branch_from
6187,18,23,0,0,branch_to
6188,7,22,0,0,unblocked
6232,13,13,4,1283,branch_from
6232,13,13,4,0,branch_to
6233,13,13,4,0,blocked
6255,0,0,0,1408,unblocked
6280,0,0,0,1433,branch_from
6280,0,0,0,0,branch_to
6283,1,1,5,2482,branch_from
6283,1,1,5,2166,branch_to
6283,3,3,5,2482,branch_from
6283,3,3,5,2166,branch_to
6333,13,13,4,0,unblocked
6355,19,19,5,2482,branch_from
6355,19,19,5,2166,branch_to
6422,1,1,5,2304,blocked
6422,3,3,5,2304,blocked
6433,1,1,5,2304,unblocked
6433,3,3,5,2304,unblocked
6494,19,19,5,2304,blocked
6505,19,19,5,2304,unblocked
6560,14,14,8,701,branch_from
6560,14,14,8,0,branch_to
6611,1,1,5,2482,branch_from
6611,1,1,5,2166,branch_to
6611,3,3,5,2482,branch_from
6611,3,3,5,2166,branch_to
6682,9,9,2,1429,branch_from
6682,9,9,2,0,branch_to
6682,11,11,2,1429,branch_from
6682,11,11,2,0,branch_to
6683,16,16,2,1429,branch_from
6683,16,16,2,0,branch_to
6683,19,19,5,2482,branch_from
6683,19,19,5,2166,branch_to
6688,7,22,0,500,branch_from
6688,7,22,0,1402,branch_to
6695,7,22,0,1408,blocked
6750,1,1,5,2304,blocked
6750,3,3,5,2304,blocked
6761,1,1,5,2304,unblocked
6761,3,3,5,2304,unblocked
6766,15,21,8,701,branch_from
6766,15,21,8,0,branch_to
6781,0,0,0,500,branch_from
6781,0,0,0,1402,branch_to
6789,7,22,0,1408,unblocked
6813,0,0,0,1433,branch_from
6813,0,0,0,0,branch_to
6814,7,22,0,1433,branch_from
6814,7,22,0,0,branch_to
6822,19,19,5,2304,blocked
6833,19,19,5,2304,unblocked
6939,1,1,5,2482,branch_from
6939,1,1,5,2166,branch_to
6939,3,3,5,2482,branch_from
6939,3,3,5,2166,branch_to
6964,12,12,4,1282,branch_from
6964,12,12,4,1066,branch_to
6985,17,17,9,1500,branch_from
6985,17,17,9,1503,branch_to
6986,17,17,9,1503,branch_from
6986,17,17,9,0,branch_to
6997,6,6,0,1301,branch_from
6997,6,6,0,1433,branch_to
6998,6,6,0,1433,blocked
7011,19,19,5,2482,branch_from
7011,19,19,5,2166,branch_to
7076,6,6,0,1433,unblocked
7076,6,6,0,1433,branch_from
7076,6,6,0,0,branch_to
7078,1,1,5,2304,blocked
7078,3,3,5,2304,blocked
7089,1,1,5,2304,unblocked
7089,3,3,5,2304,unblocked
7150,19,19,5,2304,blocked
7161,19,19,5,2304,unblocked
7181,12,12,4,1282,branch_from
7181,12,12,4,1066,branch_to
7261,14,14,8,700,branch_from
7261,14,14,8,703,branch_to
7262,14,14,8,703,branch_from
7262,14,14,8,0,branch_to
7267,1,1,5,2482,branch_from
7267,1,1,5,2166,branch_to
7267,3,3,5,2482,branch_from
7267,3,3,5,2166,branch_to
